# Exhaustive accepted live-answer disposition baseline for GK 1.407 weekday NPC graphs.
# Derived only from accepted raw/lifecycle/task/frontier evidence; no display-text heuristics.
# Runtime watchdog keys exact authored occurrence by npc + Flow_MultiAnswer node + answer index/id.
# Counts: EVENT_INVOKED_NON_REMINDER=14, NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER=67, REMINDER_DIALOGUE_OWNER=58, REMINDER_TASK_OWNED=88, SAME_VISIT_DESCENDANT_OF_DIALOGUE_OWNER=6, SAME_VISIT_DESCENDANT_OF_TASK_OWNER=6, SAME_VISIT_NON_REMINDER=4
# Invariant: 243/243 raw answer occurrences classified; UNKNOWN=0.
npc	multi	index	answer	disposition	owner	evidence
npc_astrologer	44	17	@tr_quest_13_research_1	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_astrologer	44	18	@refugees_s_ev_7_1_1	REMINDER_TASK_OWNED	@refugees_s_ev_7_1_1	lifecycle-census
npc_astrologer	44	19	@astrologer_trade	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_astrologer	44	20	@souls_s_s30_ask	REMINDER_TASK_OWNED	@souls_s_s30_ask	lifecycle-census
npc_astrologer	44	21	Leave	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_astrologer	67	0	@astrologer_2a_1a_1	REMINDER_DIALOGUE_OWNER	@astrologer_2a_1a_1	lifecycle-census
npc_astrologer	67	1	@astrologer_2a_1b_1	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_astrologer	67	2	Back	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_astrologer	104	0	astrologer_2a_1b_6a	REMINDER_DIALOGUE_OWNER	astrologer_2a_1b_6a	lifecycle-census
npc_astrologer	104	1	astrologer_2a_1b_6b	REMINDER_DIALOGUE_OWNER	astrologer_2a_1b_6b	lifecycle-census
npc_astrologer	104	2	astrologer_2a_1b_6c	REMINDER_DIALOGUE_OWNER	astrologer_2a_1b_6c	lifecycle-census
npc_astrologer	104	3	Back	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_astrologer	219	0	astrologer_diary_9a	SAME_VISIT_NON_REMINDER	astrologer_diary_9a	lifecycle-census
npc_astrologer	219	1	astrologer_diary_9b	SAME_VISIT_NON_REMINDER	astrologer_diary_9b	lifecycle-census
npc_astrologer	507	0	@astrologer_about_acid	SAME_VISIT_NON_REMINDER	@astrologer_about_acid	lifecycle-census
npc_astrologer	507	1	@astrologer_about_tools	SAME_VISIT_NON_REMINDER	@astrologer_about_tools	lifecycle-census
npc_astrologer	1384	0	tr_quest_13_research_2	SAME_VISIT_DESCENDANT_OF_DIALOGUE_OWNER	@tr_quest_13_research_1	lifecycle-census
npc_astrologer	1384	1	Leave	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	75	0	bishop_2_1a	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	75	1	bishop_2_1b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	75	2	bishop_2_1c	REMINDER_TASK_OWNED	bishop_2_1c	lifecycle-census
npc_bishop	75	3	bishop_2_1e	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	75	4	@bishop_4_0	REMINDER_DIALOGUE_OWNER	@bishop_4_0	lifecycle-census
npc_bishop	75	5	@bishop_5_1	REMINDER_TASK_OWNED	bishop_bowls	task-route-snapshot
npc_bishop	75	6	@bishop_trade	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	75	7	@bishop_6a	REMINDER_TASK_OWNED	@bishop_6a	lifecycle-census
npc_bishop	75	8	@souls_s_s15_ask	REMINDER_TASK_OWNED	@souls_s_s15_ask	lifecycle-census
npc_bishop	75	9	bishop_2_1d	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	132	0	bishop_2_1a_6a	SAME_VISIT_DESCENDANT_OF_DIALOGUE_OWNER	bishop_2_1a	lifecycle-census
npc_bishop	132	1	bishop_2_1a_6b	SAME_VISIT_DESCENDANT_OF_DIALOGUE_OWNER	bishop_2_1a	lifecycle-census
npc_bishop	161	0	bishop_2_1e_4a	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	161	1	bishop_2_1e_4b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	161	2	bishop_2_1e_4c	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	679	0	@bishop_6b	REMINDER_TASK_OWNED	@bishop_6b	lifecycle-census
npc_bishop	679	1	@bishop_6c	REMINDER_TASK_OWNED	@bishop_6c	lifecycle-census
npc_bishop	679	2	@bishop_6d	REMINDER_DIALOGUE_OWNER	@bishop_6d	lifecycle-census
npc_bishop	679	3	@bishop_6a	REMINDER_TASK_OWNED	@bishop_6a	lifecycle-census
npc_bishop	679	4	@bishop_trade	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	679	5	@souls_s_s15_ask	REMINDER_TASK_OWNED	@souls_s_s15_ask	lifecycle-census
npc_bishop	679	6	Leave	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	1030	0	about_cathedral	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	1030	1	@bishop_cathidral_cross	REMINDER_TASK_OWNED	@bishop_cathidral_cross	lifecycle-census
npc_bishop	1030	2	@bishop_cathidral_skull	REMINDER_TASK_OWNED	@bishop_cathidral_skull	lifecycle-census
npc_bishop	1030	3	@bishop_cathidral_80	REMINDER_DIALOGUE_OWNER	@bishop_cathidral_80	lifecycle-census
npc_bishop	1030	4	@bishop_aristocrat	REMINDER_TASK_OWNED	@bishop_aristocrat	lifecycle-census
npc_bishop	1030	5	@bishop_invitation	REMINDER_TASK_OWNED	@bishop_invitation	lifecycle-census
npc_bishop	1030	6	@bishop_magic_item	REMINDER_DIALOGUE_OWNER	@bishop_magic_item	lifecycle-census
npc_bishop	1030	7	@bishop_final_ceremony	REMINDER_DIALOGUE_OWNER	@bishop_final_ceremony	lifecycle-census
npc_bishop	1030	8	@bishop_magic_100	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	1030	9	@souls_s_s15_ask	REMINDER_TASK_OWNED	@souls_s_s15_ask	lifecycle-census
npc_bishop	1030	10	Trade	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	1030	11	Leave	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_bishop	1068	0	@bishop_get_citezen	REMINDER_TASK_OWNED	@bishop_get_citezen	lifecycle-census
npc_bishop	1068	1	@bishop_cathidral	REMINDER_DIALOGUE_OWNER	@bishop_cathidral	lifecycle-census
npc_bishop	1068	2	@bishop_town_cathidral	REMINDER_DIALOGUE_OWNER	@bishop_town_cathidral	lifecycle-census
npc_bishop	1068	3	@bishop_statue_ready	REMINDER_TASK_OWNED	@bishop_statue_ready	lifecycle-census
npc_bishop	1068	4	Back	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_cultist	106	0	snake_1a	REMINDER_DIALOGUE_OWNER	snake_1a	lifecycle-census
npc_cultist	106	1	snake_1b	REMINDER_DIALOGUE_OWNER	snake_1b	lifecycle-census
npc_cultist	106	2	@snake_1с	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_cultist	106	3	@snake_give_key	REMINDER_TASK_OWNED	@snake_give_key	lifecycle-census
npc_cultist	106	4	@give_blod_bucket	REMINDER_TASK_OWNED	@give_blod_bucket	lifecycle-census
npc_cultist	106	5	@give_blod_nails	REMINDER_TASK_OWNED	@give_blod_nails	lifecycle-census
npc_cultist	106	6	@snake_buisnes	REMINDER_DIALOGUE_OWNER	@snake_buisnes	lifecycle-census
npc_cultist	106	7	@snake_meat_1	REMINDER_DIALOGUE_OWNER	@snake_meat_1	lifecycle-census
npc_cultist	106	8	@snake_pass_1	REMINDER_DIALOGUE_OWNER	@snake_pass_1	lifecycle-census
npc_cultist	106	9	@snake_instrument	REMINDER_DIALOGUE_OWNER	@snake_instrument	lifecycle-census
npc_cultist	106	10	@snake_instrument_ready	REMINDER_DIALOGUE_OWNER	@snake_instrument_ready	lifecycle-census
npc_cultist	106	11	@snake_about_nacklase	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_cultist	106	12	@snake_ritual_help	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_cultist	106	13	@snake_sword	REMINDER_TASK_OWNED	@snake_sword	lifecycle-census
npc_cultist	106	14	@snake_necronomicon	REMINDER_TASK_OWNED	@snake_necronomicon	lifecycle-census
npc_cultist	106	15	@snake_aple	REMINDER_DIALOGUE_OWNER	@snake_aple	lifecycle-census
npc_cultist	106	16	@snake_aple_get	REMINDER_TASK_OWNED	@snake_aple_get	lifecycle-census
npc_cultist	106	17	@snake_final_ritual	REMINDER_DIALOGUE_OWNER	@snake_final_ritual	lifecycle-census
npc_cultist	106	18	@snake_magic_item	REMINDER_DIALOGUE_OWNER	@snake_magic_item	lifecycle-census
npc_cultist	106	19	@snake_10th	REMINDER_DIALOGUE_OWNER	@snake_10th	lifecycle-census
npc_cultist	106	20	@snake_items	REMINDER_TASK_OWNED	@snake_items	lifecycle-census
npc_cultist	106	21	@snake_items_give	REMINDER_DIALOGUE_OWNER	@snake_items_give	lifecycle-census
npc_cultist	106	22	@snake_magic_100	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_cultist	106	23	@tr_quest_7_snake_booze_1	REMINDER_DIALOGUE_OWNER	@tr_quest_7_snake_booze_1	lifecycle-census
npc_cultist	106	24	@tr_quest_7_booze_after_week_1	REMINDER_TASK_OWNED	@tr_quest_7_booze_after_week_1	lifecycle-census
npc_cultist	106	25	@tr_quest_7_about_booze_again_1	REMINDER_DIALOGUE_OWNER	@tr_quest_7_about_booze_again_1	lifecycle-census
npc_cultist	106	26	@tr_quest_12_snake_asking_1	REMINDER_TASK_OWNED	@tr_quest_12_snake_asking_1	lifecycle-census
npc_cultist	106	27	@tr_quest_12_snake_asking_1_alias	REMINDER_DIALOGUE_OWNER	@tr_quest_12_snake_asking_1_alias	lifecycle-census
npc_cultist	106	28	@tr_quest_12_after_first_rat_race_1	REMINDER_TASK_OWNED	@tr_quest_12_after_first_rat_race_1	lifecycle-census
npc_cultist	106	29	@souls_s_s33_ask	REMINDER_TASK_OWNED	@souls_s_s33_ask	lifecycle-census
npc_cultist	106	30	@souls_s_s43_ask	REMINDER_TASK_OWNED	@souls_s_s43_ask	lifecycle-census
npc_cultist	106	31	Leave	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_cultist	359	0	snake_back_12a	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_cultist	359	1	snake_back_12b	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_cultist	624	0	snake_1с_4a	SAME_VISIT_DESCENDANT_OF_DIALOGUE_OWNER	@snake_1с	lifecycle-census
npc_cultist	624	1	snake_1с_4b	SAME_VISIT_DESCENDANT_OF_DIALOGUE_OWNER	@snake_1с	lifecycle-census
npc_cultist	763	0	@snake_nacklase_0	REMINDER_DIALOGUE_OWNER	@snake_nacklase_0	lifecycle-census
npc_cultist	763	1	@snake_nacklase_again	REMINDER_DIALOGUE_OWNER	@snake_nacklase_again	lifecycle-census
npc_cultist	763	2	Leave	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_cultist	825	0	@snake_nacklase_again_10a	REMINDER_DIALOGUE_OWNER	@snake_nacklase_again_10a	lifecycle-census
npc_cultist	825	1	@snake_nacklase_again_10b	REMINDER_DIALOGUE_OWNER	@snake_nacklase_again_10b	lifecycle-census
npc_cultist	825	2	@snake_nacklase_again_10c	REMINDER_DIALOGUE_OWNER	@snake_nacklase_again_10c	lifecycle-census
npc_cultist	985	0	@snake_help	REMINDER_DIALOGUE_OWNER	@snake_help	lifecycle-census
npc_cultist	985	1	@snake_help_done	REMINDER_TASK_OWNED	@snake_help_done	lifecycle-census
npc_cultist	985	2	Leave	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_cultist	1520	0	snake_stone_ready	REMINDER_TASK_OWNED	snake_trap	task-route-snapshot
npc_cultist	1520	1	Leave	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_cultist	1759	0	snake_aple_get_3a	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_cultist	1759	1	snake_aple_get_4b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_inquisitor	157	0	inquisitor_1_7a	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_inquisitor	157	1	inquisitor_1_7b	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_inquisitor	174	0	inquisitor_1_9a	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_inquisitor	174	1	inquisitor_1_9b	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_inquisitor	199	0	inquisitor_1_11a	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_inquisitor	199	1	inquisitor_1_11b	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_inquisitor	199	2	inquisitor_1_11c	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_inquisitor	448	0	inquisitor_2_9a	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_inquisitor	448	1	inquisitor_2_9b	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_inquisitor	704	0	inquisitor_burn_3a_1a	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_inquisitor	704	1	inquisitor_burn_3a_1b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_inquisitor	736	0	@inquisitor_grave_1_1	REMINDER_DIALOGUE_OWNER	@inquisitor_grave_1_1	lifecycle-census
npc_inquisitor	736	1	@inquisitor_grave_2_1	REMINDER_TASK_OWNED	@inquisitor_grave_2_1	lifecycle-census
npc_inquisitor	736	2	@inquisitor_grave_2a	REMINDER_TASK_OWNED	@inquisitor_grave_2a	lifecycle-census
npc_inquisitor	736	3	@inquisitor_firewood_1	REMINDER_TASK_OWNED	@inquisitor_firewood_1	lifecycle-census
npc_inquisitor	736	4	@inquisitor_flyer	REMINDER_TASK_OWNED	@inquisitor_flyer	lifecycle-census
npc_inquisitor	736	5	@inquisitor_firewood_1_buy	REMINDER_TASK_OWNED	@inquisitor_firewood_1_buy	lifecycle-census
npc_inquisitor	736	6	@inquisitor_flyer_buy	REMINDER_TASK_OWNED	@inquisitor_flyer_buy	lifecycle-census
npc_inquisitor	736	7	@inquisitor_portal_guard	REMINDER_DIALOGUE_OWNER	@inquisitor_portal_guard	lifecycle-census
npc_inquisitor	736	8	@refugees_s15_1_2	REMINDER_TASK_OWNED	@refugees_s15_1_2	lifecycle-census
npc_inquisitor	736	9	@souls_s_s22_ask	REMINDER_TASK_OWNED	@souls_s_s22_ask	lifecycle-census
npc_inquisitor	736	10	Leave	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_inquisitor	843	0	@inquisitor_grave_1_1	REMINDER_DIALOGUE_OWNER	@inquisitor_grave_1_1	lifecycle-census
npc_inquisitor	843	1	@inquisitor_grave_2_1	REMINDER_TASK_OWNED	@inquisitor_grave_2_1	lifecycle-census
npc_inquisitor	843	2	@inquisitor_grave_2a	REMINDER_TASK_OWNED	@inquisitor_grave_2a	lifecycle-census
npc_inquisitor	843	3	@inquisitor_wine_ready	REMINDER_TASK_OWNED	@inquisitor_wine_ready	lifecycle-census
npc_inquisitor	843	4	@inquisitor_tent	REMINDER_DIALOGUE_OWNER	@inquisitor_tent	lifecycle-census
npc_inquisitor	843	5	@inquisitor_tent_ready	REMINDER_TASK_OWNED	@inquisitor_tent_ready	lifecycle-census
npc_inquisitor	843	6	@inquisitor_portal_guard	REMINDER_DIALOGUE_OWNER	@inquisitor_portal_guard	lifecycle-census
npc_inquisitor	843	7	@inquisitor_portal_done	REMINDER_TASK_OWNED	@inquisitor_portal_done	lifecycle-census
npc_inquisitor	843	8	@inquisitor_burn_again	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_inquisitor	843	9	@inquisitor_ceremony	REMINDER_TASK_OWNED	@inquisitor_ceremony	lifecycle-census
npc_inquisitor	843	10	@inquisitor_dark	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_inquisitor	843	11	@inquisitor_magic_item	REMINDER_DIALOGUE_OWNER	@inquisitor_magic_item	lifecycle-census
npc_inquisitor	843	12	@inquisitor_magic_100	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_inquisitor	843	13	@inquisitor_gypsy	REMINDER_TASK_OWNED	@inquisitor_gypsy	lifecycle-census
npc_inquisitor	843	14	@refugees_s15_1_2	REMINDER_TASK_OWNED	@refugees_s15_1_2	lifecycle-census
npc_inquisitor	843	15	@souls_s_s22_ask	REMINDER_TASK_OWNED	@souls_s_s22_ask	lifecycle-census
npc_inquisitor	843	16	Leave	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_inquisitor	1556	0	inquisitor_dark_hart	REMINDER_TASK_OWNED	inquisitor_dark_hart	lifecycle-census
npc_inquisitor	1556	1	inquisitor_dark_brain	REMINDER_TASK_OWNED	inquisitor_dark_brain	lifecycle-census
npc_inquisitor	1556	2	inquisitor_dark_intestine	REMINDER_TASK_OWNED	inquisitor_dark_intestine	lifecycle-census
npc_inquisitor	1556	3	Back	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_inquisitor	1738	0	inquisitor_gerry	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_inquisitor	1738	1	inquisitor_cultists	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_inquisitor	1738	2	inquisitor_nothing	EVENT_INVOKED_NON_REMINDER		frontier-0.1.3
npc_merchant	38	0	merchant_2a	REMINDER_DIALOGUE_OWNER	merchant_2a	lifecycle-census
npc_merchant	38	1	@merchant_2b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	38	2	@merchant_2e	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	38	3	@merchant_forgive	REMINDER_DIALOGUE_OWNER	@merchant_forgive	lifecycle-census
npc_merchant	38	4	@merchant_forgive_pay	REMINDER_TASK_OWNED	@merchant_forgive_pay	lifecycle-census
npc_merchant	38	5	@merchant_favore	REMINDER_DIALOGUE_OWNER	@merchant_favore	lifecycle-census
npc_merchant	38	6	@merchant_favore_done	REMINDER_TASK_OWNED	@merchant_favore_done	lifecycle-census
npc_merchant	38	7	@merchant_on_cure	REMINDER_TASK_OWNED	@merchant_on_cure	lifecycle-census
npc_merchant	38	8	@merchant_dinner	REMINDER_TASK_OWNED	@merchant_dinner	lifecycle-census
npc_merchant	38	9	@merchant_traide_license	REMINDER_TASK_OWNED	@merchant_traide_license	lifecycle-census
npc_merchant	38	10	@merchant_strategy	REMINDER_TASK_OWNED	@merchant_strategy	lifecycle-census
npc_merchant	38	11	@merchant_business	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	38	12	@merchant_70	REMINDER_DIALOGUE_OWNER	@merchant_70	lifecycle-census
npc_merchant	38	13	@merchant_ceremony	REMINDER_TASK_OWNED	@merchant_ceremony	lifecycle-census
npc_merchant	38	14	@merchant_actress	REMINDER_TASK_OWNED	@merchant_actress	lifecycle-census
npc_merchant	38	15	@merchant_magic_item	REMINDER_DIALOGUE_OWNER	@merchant_magic_item	lifecycle-census
npc_merchant	38	16	@merchant_magic_100	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	38	17	@tr_quest_15_merchant_vase_1	REMINDER_TASK_OWNED	@tr_quest_15_merchant_vase_1	lifecycle-census
npc_merchant	38	18	merchant_2c	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	38	19	@merchant_new_trade	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	38	20	@souls_s_s24_ask	REMINDER_TASK_OWNED	@souls_s_s24_ask	lifecycle-census
npc_merchant	38	21	merchant_2d	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	75	0	merchant_2b_5a	SAME_VISIT_DESCENDANT_OF_TASK_OWNER	@merchant_2b	lifecycle-census
npc_merchant	75	1	merchant_2b_5b	NAVIGATION_UTILITY_REPEATABLE_NON_REMINDER		no-task-completion-no-persistent-lifecycle
npc_merchant	98	0	merchant_2b_5b_2a	SAME_VISIT_DESCENDANT_OF_TASK_OWNER	@merchant_2b	lifecycle-census
